WigleWifi-1.4,appRelease=2.26,model=GT-I9301I,release=4.4.2,device=s3ve3g,display=KOT49H.I9301IXXSAQA1,board=MSM8226,brand=samsung
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
00:a0:f8:c4:0a:b4,colmobildmx,[WPA-PSK-TKIP][ESS],2017-11-09 02:53:16,6,-89,32.1021797,34.97317407,105,18,WIFI
08:97:58:33:83:bc,wifi in car-0659,[WPA-PSK-CCMP][WPS][ESS],2017-11-09 02:53:18,4,-82,32.10217974,34.97268499,104,15,WIFI
00:a0:f8:c4:0a:b4,colmobildmx,[WPA-PSK-TKIP][ESS],2017-11-09 02:53:20,6,-89,32.10230436,34.97216208,104,16,WIFI
42507_10222_1475513,HOT mobile,HSDPA;il,2017-11-09 02:53:20,0,-91,32.10230436,34.97216208,104,16,GSM
00:a0:f8:dd:f8:e6,135,[WPA-?][ESS],2017-11-09 02:53:22,6,-85,32.10245385,34.97173619,105,16,WIFI
42507_10222_1476913,HOT mobile,HSDPA;il,2017-11-09 02:53:22,0,-93,32.10245385,34.97173619,105,16,GSM
00:a0:f8:c4:0a:b4,colmobildmx,[WPA-PSK-TKIP][ESS],2017-11-09 02:53:26,6,-88,32.10270104,34.97091365,106,15,WIFI
00:a0:f8:dd:f8:e6,135,[WPA-?][ESS],2017-11-09 02:53:28,6,-82,32.10278641,34.97049403,107,14,WIFI
42507_10222_1475514,HOT mobile,HSDPA;il,2017-11-09 02:53:28,0,-101,32.10278641,34.97049403,107,14,GSM
42507_10222_1475514,HOT mobile,HSDPA;il,2017-11-09 02:53:32,0,-93,32.10306957,34.9695634,107,14,GSM
00:a0:f8:dd:f8:e6,135,[WPA-?][ESS],2017-11-09 02:53:34,6,-82,32.10326545,34.9691432,105,15,WIFI
42507_10222_1475514,HOT mobile,HSDPA;il,2017-11-09 02:53:36,0,-87,32.10345127,34.9687435,106,17,GSM
42507_10222_1475514,HOT mobile,HSDPA;il,2017-11-09 02:53:40,0,-81,32.10378066,34.96797651,106,24,GSM
42507_10222_1475514,HOT mobile,HSDPA;il,2017-11-09 02:53:46,0,-79,32.10447735,34.96672316,105,19,GSM
42507_10222_1441911,HOT mobile,HSDPA;il,2017-11-09 02:53:48,0,-79,32.10469869,34.96632893,107,19,GSM
42507_10222_1441911,HOT mobile,HSDPA;il,2017-11-09 02:53:54,0,-71,32.10544619,34.96519174,109,21,GSM
42507_10222_1441911,HOT mobile,HSDPA;il,2017-11-09 02:53:58,0,-63,32.10585157,34.9644424,108,18,GSM
00:12:5f:0b:d3:dc,WiPG-1000,[ESS],2017-11-09 02:54:00,12,-87,32.10605394,34.96400222,109,18,WIFI
78:d3:8d:e4:ff:1c,repeater from office,[WPA2-PSK-CCMP][ESS],2017-11-09 02:54:02,1,-86,32.1062451,34.96364319,109,15,WIFI
64:e9:50:9c:e1:f7,ultra_lab,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],2017-11-09 02:54:02,9,-89,32.1062451,34.96364319,109,15,WIFI
64:e9:50:9c:e1:f0,Partner,[WPA-EAP-TKIP][WPA2-EAP-CCMP][ESS],2017-11-09 02:54:02,9,-89,32.1062451,34.96364319,109,15,WIFI
64:e9:50:9c:e1:f1,Partner_Guest,[ESS],2017-11-09 02:54:02,9,-88,32.1062451,34.96364319,109,15,WIFI
64:e9:50:9c:e1:f2,Partner_Wi,[ESS],2017-11-09 02:54:02,9,-89,32.1062451,34.96364319,109,15,WIFI
42507_10222_1441911,HOT mobile,HSDPA;il,2017-11-09 02:54:04,0,-63,32.10648379,34.96330856,109,15,GSM
00:12:5f:0b:d3:dc,WiPG-1000,[ESS],2017-11-09 02:54:06,12,-86,32.10669252,34.96295826,108,14,WIFI
78:d3:8d:e4:ff:04,acseess for camera,[WPA2-PSK-CCMP][ESS],2017-11-09 02:54:06,1,-86,32.10669252,34.96295826,108,14,WIFI
00:12:5f:11:1f:96,WiPG-1000,[ESS],2017-11-09 02:54:06,13,-87,32.10669252,34.96295826,108,14,WIFI
78:d3:8d:e4:ff:1c,repeater from office,[WPA2-PSK-CCMP][ESS],2017-11-09 02:54:08,1,-82,32.10693096,34.96261024,109,13,WIFI
64:e9:50:9c:e1:f7,ultra_lab,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],2017-11-09 02:54:08,9,-89,32.10693096,34.96261024,109,13,WIFI
64:e9:50:9c:e1:f0,Partner,[WPA-EAP-TKIP][WPA2-EAP-CCMP][ESS],2017-11-09 02:54:08,9,-89,32.10693096,34.96261024,109,13,WIFI
64:e9:50:9c:e1:f1,Partner_Guest,[ESS],2017-11-09 02:54:08,9,-88,32.10693096,34.96261024,109,13,WIFI
64:e9:50:9c:e1:f2,Partner_Wi,[ESS],2017-11-09 02:54:08,9,-89,32.10693096,34.96261024,109,13,WIFI
42507_10222_1441905,HOT mobile,HSDPA;il,2017-11-09 02:54:08,0,-67,32.10693096,34.96261024,109,13,GSM
78:d3:8d:e4:ff:28,office,[WPA2-PSK-CCMP][ESS],2017-11-09 02:54:10,6,-82,32.10718821,34.96230546,108,13,WIFI
00:12:5f:0b:d3:dc,WiPG-1000,[ESS],2017-11-09 02:54:14,12,-86,32.1076758,34.96162529,105,13,WIFI
78:d3:8d:e4:ff:04,acseess for camera,[WPA2-PSK-CCMP][ESS],2017-11-09 02:54:14,1,-81,32.1076758,34.96162529,105,13,WIFI
00:12:5f:11:1f:96,WiPG-1000,[ESS],2017-11-09 02:54:14,13,-87,32.1076758,34.96162529,105,13,WIFI
78:d3:8d:e4:ff:1c,repeater from office,[WPA2-PSK-CCMP][ESS],2017-11-09 02:54:16,1,-81,32.10790433,34.9612594,104,14,WIFI
78:d3:8d:e4:ff:28,office,[WPA2-PSK-CCMP][ESS],2017-11-09 02:54:16,6,-86,32.10790433,34.9612594,104,14,WIFI
42507_10222_1441905,HOT mobile,HSDPA;il,2017-11-09 02:54:16,0,-69,32.10790433,34.9612594,104,14,GSM
78:d3:8d:e4:ff:04,acseess for camera,[WPA2-PSK-CCMP][ESS],2017-11-09 02:54:20,1,-87,32.10838501,34.9605242,103,13,WIFI
78:d3:8d:e4:ff:1c,repeater from office,[WPA2-PSK-CCMP][ESS],2017-11-09 02:54:22,1,-84,32.10857484,34.96021555,103,12,WIFI
78:d3:8d:e4:ff:28,office,[WPA2-PSK-CCMP][ESS],2017-11-09 02:54:22,6,-89,32.10857484,34.96021555,103,12,WIFI
42507_10222_1441905,HOT mobile,HSDPA;il,2017-11-09 02:54:22,0,-67,32.10857484,34.96021555,103,12,GSM
78:d3:8d:e4:ff:04,acseess for camera,[WPA2-PSK-CCMP][ESS],2017-11-09 02:54:28,1,-82,32.10922372,34.95921886,97,12,WIFI
10:62:eb:ab:74:b8,Dlink,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-11-09 02:54:28,36,-80,32.10922372,34.95921886,97,12,WIFI
78:d3:8d:e4:ff:1c,repeater from office,[WPA2-PSK-CCMP][ESS],2017-11-09 02:54:30,1,-86,32.10947964,34.95884316,97,13,WIFI
78:d3:8d:e4:ff:28,office,[WPA2-PSK-CCMP][ESS],2017-11-09 02:54:30,6,-88,32.10947964,34.95884316,97,13,WIFI
42507_10222_1441905,HOT mobile,HSDPA;il,2017-11-09 02:54:30,0,-65,32.10947964,34.95884316,97,13,GSM
78:d3:8d:e4:ff:04,acseess for camera,[WPA2-PSK-CCMP][ESS],2017-11-09 02:54:34,1,-86,32.11001736,34.95802032,92,13,WIFI
10:62:eb:ab:74:b8,Dlink,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-11-09 02:54:34,36,-80,32.11001736,34.95802032,92,13,WIFI
78:d3:8d:e4:ff:1c,repeater from office,[WPA2-PSK-CCMP][ESS],2017-11-09 02:54:36,1,-86,32.11025262,34.95763524,93,14,WIFI
42507_10222_1441905,HOT mobile,HSDPA;il,2017-11-09 02:54:36,0,-65,32.11025262,34.95763524,93,14,GSM
00:42:68:74:70:20,Kornit,[WPA2-PSK-CCMP][ESS],2017-11-09 02:54:38,1,-89,32.11052915,34.95725179,91,13,WIFI
78:d3:8d:e4:ff:28,office,[WPA2-PSK-CCMP][ESS],2017-11-09 02:54:42,6,-86,32.11100445,34.95647554,92,13,WIFI
5c:0e:8b:4a:3c:30,Shaul,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],2017-11-09 02:54:42,11,-89,32.11100445,34.95647554,92,13,WIFI
42507_10222_1441905,HOT mobile,HSDPA;il,2017-11-09 02:54:42,0,-65,32.11100445,34.95647554,92,13,GSM
00:42:68:74:70:20,Kornit,[WPA2-PSK-CCMP][ESS],2017-11-09 02:54:44,1,-89,32.11126615,34.95606737,91,13,WIFI
00:42:68:74:70:2e,Kornit Guest,[WPA2-PSK-CCMP][ESS],2017-11-09 02:54:44,48,-79,32.11126615,34.95606737,91,13,WIFI
00:42:68:74:70:21,Kornit Guest,[WPA2-PSK-CCMP][ESS],2017-11-09 02:54:44,1,-86,32.11126615,34.95606737,91,13,WIFI
42507_10222_1479273,HOT mobile,HSDPA;il,2017-11-09 02:54:44,0,-67,32.11126615,34.95606737,91,13,GSM
a4:18:75:c3:2e:73,Orian-Masof,[WPA-PSK-TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-11-09 02:54:46,13,-90,32.11149815,34.95565275,94,14,WIFI
78:d3:8d:e4:ff:28,office,[WPA2-PSK-CCMP][ESS],2017-11-09 02:54:48,6,-86,32.1116771,34.95519107,86,16,WIFI
5c:0e:8b:4a:3c:30,Shaul,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],2017-11-09 02:54:48,11,-88,32.1116771,34.95519107,86,16,WIFI
1c:bd:b9:3d:d6:94,Bezeq_3dd691,[WEP][ESS],2017-11-09 02:54:48,6,-87,32.1116771,34.95519107,86,16,WIFI
00:42:68:74:70:20,Kornit,[WPA2-PSK-CCMP][ESS],2017-11-09 02:54:50,1,-85,32.11191329,34.95476439,89,23,WIFI
00:42:68:74:70:2e,Kornit Guest,[WPA2-PSK-CCMP][ESS],2017-11-09 02:54:50,48,-79,32.11191329,34.95476439,89,23,WIFI
00:42:68:74:70:21,Kornit Guest,[WPA2-PSK-CCMP][ESS],2017-11-09 02:54:50,1,-86,32.11191329,34.95476439,89,23,WIFI
1c:bd:b9:3d:d6:94,Bezeq_3dd691,[WEP][ESS],2017-11-09 02:54:50,6,-82,32.11191329,34.95476439,89,23,WIFI
c0:4a:00:bd:00:4c,TP-LINK_BD004C,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2017-11-09 02:54:50,6,-86,32.11191329,34.95476439,89,23,WIFI
42507_10222_1479272,HOT mobile,HSDPA;il,2017-11-09 02:54:50,0,-67,32.11191329,34.95476439,89,23,GSM
a4:18:75:c3:2e:73,Orian-Masof,[WPA-PSK-TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-11-09 02:54:52,13,-90,32.11210732,34.95433725,84,21,WIFI
78:d3:8d:e4:ff:28,office,[WPA2-PSK-CCMP][ESS],2017-11-09 02:54:54,6,-88,32.11229443,34.95386948,82,23,WIFI
5c:0e:8b:4a:3c:30,Shaul,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],2017-11-09 02:54:54,11,-88,32.11229443,34.95386948,82,23,WIFI
00:42:68:74:70:20,Kornit,[WPA2-PSK-CCMP][ESS],2017-11-09 02:54:56,1,-85,32.11251645,34.95337477,79,22,WIFI
1c:bd:b9:3d:d6:94,Bezeq_3dd691,[WEP][ESS],2017-11-09 02:54:56,6,-82,32.11251645,34.95337477,79,22,WIFI
c0:4a:00:bd:00:4c,TP-LINK_BD004C,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2017-11-09 02:54:56,6,-86,32.11251645,34.95337477,79,22,WIFI
42507_10222_1479272,HOT mobile,HSDPA;il,2017-11-09 02:54:56,0,-69,32.11251645,34.95337477,79,22,GSM
78:d3:8d:e4:ff:28,office,[WPA2-PSK-CCMP][ESS],2017-11-09 02:55:00,6,-88,32.1127492,34.95241888,78,21,WIFI
4c:60:de:52:a1:16,Gassan,[WPA2-PSK-CCMP][WPS][ESS],2017-11-09 02:55:00,11,-89,32.1127492,34.95241888,78,21,WIFI
ac:f1:df:9d:7d:81,Emanul 01,[WPA2-PSK-CCMP][ESS],2017-11-09 02:55:02,11,-83,32.11285819,34.95205038,76,17,WIFI
b0:89:00:d8:99:37,Partner-4G-9937,[WPA2-PSK-CCMP][ESS],2017-11-09 02:55:02,2,-88,32.11285819,34.95205038,76,17,WIFI
c4:12:f5:82:cb:43,papaya5,[WPA2-PSK-CCMP][ESS],2017-11-09 02:55:02,1,-89,32.11285819,34.95205038,76,17,WIFI
42507_10222_1479272,HOT mobile,HSDPA;il,2017-11-09 02:55:02,0,-65,32.11285819,34.95205038,76,17,GSM
78:d3:8d:e4:ff:1c,repeater from office,[WPA2-PSK-CCMP][ESS],2017-11-09 02:55:04,1,-83,32.11295352,34.95147978,76,16,WIFI
a8:c8:3a:35:e6:9a,Partner-4G-E69A,[WPA2-PSK-CCMP][ESS],2017-11-09 02:55:04,9,-86,32.11295352,34.95147978,76,16,WIFI
4c:60:de:52:a1:16,Gassan,[WPA2-PSK-CCMP][WPS][ESS],2017-11-09 02:55:06,11,-88,32.11307736,34.95095757,76,16,WIFI
ac:f1:df:9d:7d:81,Emanul 01,[WPA2-PSK-CCMP][ESS],2017-11-09 02:55:06,11,-83,32.11307736,34.95095757,76,16,WIFI
b0:89:00:d8:99:37,Partner-4G-9937,[WPA2-PSK-CCMP][ESS],2017-11-09 02:55:06,2,-88,32.11307736,34.95095757,76,16,WIFI
c4:12:f5:82:cb:43,papaya5,[WPA2-PSK-CCMP][ESS],2017-11-09 02:55:06,1,-89,32.11307736,34.95095757,76,16,WIFI
78:d3:8d:e4:ff:28,office,[WPA2-PSK-CCMP][ESS],2017-11-09 02:55:06,6,-85,32.11307736,34.95095757,76,16,WIFI
42507_10222_1479272,HOT mobile,HSDPA;il,2017-11-09 02:55:06,0,-65,32.11307736,34.95095757,76,16,GSM
78:d3:8d:e4:ff:1c,repeater from office,[WPA2-PSK-CCMP][ESS],2017-11-09 02:55:10,1,-83,32.11344996,34.95015766,76,17,WIFI
a8:c8:3a:35:e6:9a,Partner-4G-E69A,[WPA2-PSK-CCMP][ESS],2017-11-09 02:55:10,9,-86,32.11344996,34.95015766,76,17,WIFI
78:d3:8d:e4:ff:28,office,[WPA2-PSK-CCMP][ESS],2017-11-09 02:55:13,6,-85,32.11366983,34.94936994,77,19,WIFI
42507_10222_1479272,HOT mobile,HSDPA;il,2017-11-09 02:55:13,0,-65,32.11366983,34.94936994,77,19,GSM
78:d3:8d:e4:ff:1c,repeater from office,[WPA2-PSK-CCMP][ESS],2017-11-09 02:55:14,1,-82,32.11374701,34.94911676,76,19,WIFI
78:d3:8d:e4:ff:28,office,[WPA2-PSK-CCMP][ESS],2017-11-09 02:55:18,6,-83,32.11408696,34.94821277,74,18,WIFI
42507_10222_1479272,HOT mobile,HSDPA;il,2017-11-09 02:55:18,0,-65,32.11408696,34.94821277,74,18,GSM
78:d3:8d:e4:ff:1c,repeater from office,[WPA2-PSK-CCMP][ESS],2017-11-09 02:55:20,1,-82,32.11420325,34.94773989,73,19,WIFI
78:d3:8d:e4:ff:04,acseess for camera,[WPA2-PSK-CCMP][ESS],2017-11-09 02:55:22,1,-88,32.11444265,34.94724381,73,16,WIFI
78:d3:8d:e4:ff:28,office,[WPA2-PSK-CCMP][ESS],2017-11-09 02:55:25,6,-73,32.11456536,34.94642455,74,15,WIFI
42507_10222_1479272,HOT mobile,HSDPA;il,2017-11-09 02:55:25,0,-69,32.11456536,34.94642455,74,15,GSM
78:d3:8d:e4:ff:04,acseess for camera,[WPA2-PSK-CCMP][ESS],2017-11-09 02:55:27,1,-88,32.11474595,34.94598414,75,16,WIFI
78:d3:8d:e4:ff:1c,repeater from office,[WPA2-PSK-CCMP][ESS],2017-11-09 02:55:27,1,-78,32.11474595,34.94598414,75,16,WIFI
78:d3:8d:e4:ff:50,camera,[WPA2-PSK-CCMP][ESS],2017-11-09 02:55:27,6,-87,32.11474595,34.94598414,75,16,WIFI
42507_10222_1442761,HOT mobile,HSDPA;il,2017-11-09 02:55:27,0,-71,32.11474595,34.94598414,75,16,GSM
78:d3:8d:e4:ff:28,office,[WPA2-PSK-CCMP][ESS],2017-11-09 02:55:31,6,-78,32.11501105,34.94508053,73,14,WIFI
78:d3:8d:e4:ff:04,acseess for camera,[WPA2-PSK-CCMP][ESS],2017-11-09 02:55:31,1,-81,32.11501105,34.94508053,73,14,WIFI
78:d3:8d:e4:ff:28,office,[WPA2-PSK-CCMP][ESS],2017-11-09 02:55:33,6,-73,32.11512578,34.94463765,73,16,WIFI
78:d3:8d:e4:ff:1c,repeater from office,[WPA2-PSK-CCMP][ESS],2017-11-09 02:55:33,1,-82,32.11512578,34.94463765,73,16,WIFI
78:d3:8d:e4:ff:50,camera,[WPA2-PSK-CCMP][ESS],2017-11-09 02:55:33,6,-86,32.11512578,34.94463765,73,16,WIFI
42507_10222_1442761,HOT mobile,HSDPA;il,2017-11-09 02:55:33,0,-71,32.11512578,34.94463765,73,16,GSM
78:d3:8d:e4:ff:50,camera,[WPA2-PSK-CCMP][ESS],2017-11-09 02:55:35,6,-78,32.11522124,34.9442713,75,19,WIFI
78:d3:8d:e4:ff:04,acseess for camera,[WPA2-PSK-CCMP][ESS],2017-11-09 02:55:37,1,-79,32.11535927,34.94381246,74,21,WIFI
78:d3:8d:e4:ff:1c,repeater from office,[WPA2-PSK-CCMP][ESS],2017-11-09 02:55:37,1,-74,32.11535927,34.94381246,74,21,WIFI
78:d3:8d:e4:ff:28,office,[WPA2-PSK-CCMP][ESS],2017-11-09 02:55:39,6,-77,32.11554224,34.94319206,77,20,WIFI
78:d3:8d:e4:ff:50,camera,[WPA2-PSK-CCMP][ESS],2017-11-09 02:55:39,6,-82,32.11554224,34.94319206,77,20,WIFI
42507_10222_1442761,HOT mobile,HSDPA;il,2017-11-09 02:55:39,0,-69,32.11554224,34.94319206,77,20,GSM
78:d3:8d:e4:ff:04,acseess for camera,[WPA2-PSK-CCMP][ESS],2017-11-09 02:55:41,1,-81,32.11566531,34.94264929,76,19,WIFI
78:d3:8d:e4:ff:1c,repeater from office,[WPA2-PSK-CCMP][ESS],2017-11-09 02:55:41,1,-77,32.11566531,34.94264929,76,19,WIFI
78:d3:8d:e4:ff:28,office,[WPA2-PSK-CCMP][ESS],2017-11-09 02:55:45,6,-84,32.11580714,34.94163027,76,15,WIFI
