WigleWifi-1.4,appRelease=2.25,model=Lenovo PB2-690Y,release=6.0.1,device=PB2PRO,display=PB2-690Y_S200032_161214,board=msm8952,brand=Lenovo
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
00:02:6f:a6:f1:f3,Pitarohecht,[WEP][ESS],2017-10-27 16:35:49,1,-86,32.16706717,34.80912469,29,3,WIFI
00:02:6f:bb:fd:ac,BlueSnap-Guest-2.4GHz,[WPA2-PSK-CCMP][ESS],2017-10-27 16:35:52,1,-83,32.16697095,34.80899281,29,4,WIFI
6c:b0:ce:ab:5a:a1,bacapital,[WPA2-PSK-CCMP][WPS][ESS],2017-10-27 16:35:52,1,-90,32.16697095,34.80899281,29,4,WIFI
14:ae:db:b3:7b:65,Bezeq2.4,[WPA2-PSK-CCMP][ESS],2017-10-27 16:35:55,6,-90,32.16690996,34.80892623,31,4,WIFI
30:f7:72:6e:8e:a0,HP-Print-A0-LaserJet Pro MFP,[ESS],2017-10-27 16:35:58,6,-78,32.16690033,34.80890703,28,4,WIFI
d0:17:c2:60:e7:38,ASUS,[WPA2-PSK-CCMP][WPS][ESS],2017-10-27 16:35:58,3,-84,32.16690033,34.80890703,28,4,WIFI
10:fe:ed:62:9e:1a,Crestron_23,[WPA2-PSK-CCMP][WPS][ESS],2017-10-27 16:35:58,4,-86,32.16690033,34.80890703,28,4,WIFI
b0:41:1d:25:5c:e3,AEH-W4A1-b0411d255ce3,[WPA2-PSK-CCMP][ESS],2017-10-27 16:35:58,7,-87,32.16690033,34.80890703,28,4,WIFI
00:02:6f:bf:86:cc,PitaroHecht,[WEP][ESS],2017-10-27 16:35:58,1,-89,32.16690033,34.80890703,28,4,WIFI
00:1d:aa:7c:8c:f8,Kadabra-AP,[WPA-PSK-CCMP+TKIP][ESS],2017-10-27 16:36:03,11,-79,32.16686101,34.80886888,25,4,WIFI
02:1d:aa:7c:8c:f8,Kadabra-Guest,[WPA-PSK-CCMP][ESS],2017-10-27 16:36:03,11,-79,32.16686101,34.80886888,25,4,WIFI
cc:b2:55:e7:bf:ba,Hacker,[WPA2-PSK-CCMP][ESS],2017-10-27 16:36:03,6,-95,32.16686101,34.80886888,25,4,WIFI
80:1f:02:36:10:68,LeonAP,[WPA2-PSK-CCMP-preauth][ESS],2017-10-27 16:36:03,11,-85,32.16686101,34.80886888,25,4,WIFI
94:f6:65:5b:b2:28,Efrat Networks MM,[WPA2-PSK-CCMP][ESS],2017-10-27 16:36:03,5,-89,32.16686101,34.80886888,25,4,WIFI
c0:56:27:a0:6c:9a,BlueSnap-Guest-2.4GHz,[WPA2-PSK-CCMP][ESS],2017-10-27 16:36:03,3,-91,32.16686101,34.80886888,25,4,WIFI
