model=SM-G950F_device=dreamlte, 32.17224246105308, 34.8144489381276, 7.777438959165592, HOTBOX-D88A, c0:ac:54:f5:b4:c9, 1, -92.0, 
model=SM-G950F_device=dreamlte, 32.172238019565235, 34.81444473498782, 10.580361150029846, Efrat, b4:ee:b4:86:c0:f1, 11, -74.0, 
model=SM-G950F_device=dreamlte, 32.172252019523675, 34.814391891326764, 17.18081811626479, angela, 80:1f:02:f5:d8:e8, 1, -89.0, 
model=SM-G950F_device=dreamlte, 32.172265215924426, 34.81421445142988, 22.818991521293682, KarvatB0.5, 14:ae:db:cc:ed:6d, 48, -89.0, 
model=SM-G950F_device=dreamlte, 32.17236137351424, 34.813699062125046, 35.857570420273696, Bezeq Free GA32E3, 52:b0:ce:ac:32:98, 1, -80.0, 
model=Lenovo PB2-690Y_device=PB2PRO, 32.17236392048461, 34.813608582564235, 40.37390229623365, lellouche, a4:2b:b0:ad:2d:34, 5, -93.0, 
model=SM-G950F_device=dreamlte, 32.172390767956486, 34.813417211867176, 31.709069181653852, dobry2016, 6c:b0:ce:ac:32:9b, 1, -69.0, 
model=Lenovo PB2-690Y_device=PB2PRO, 32.17238485133309, 34.81335251001789, 36.14795188031762, Mevohot_1, 20:0c:c8:1b:a2:48, 6, -95.0, 
model=SM-G950F_device=dreamlte, 32.172421401383374, 34.81313048983334, 30.003915937473923, DIR-825-4f83, 80:26:89:0d:4f:84, 1, -66.0, 
model=Lenovo PB2-690Y_device=PB2PRO, 32.17241727, 34.81315388, 44.00000000000001, sellahome_2EX, 74:da:38:14:1f:8d, 9, -82.0, 
model=Lenovo PB2-690Y_device=PB2PRO, 32.17237362574928, 34.81343720493664, 41.80953753710491, Mevohot_3, 60:e3:27:e8:41:e8, 11, -86.0, 
model=Lenovo PB2-690Y_device=PB2PRO, 32.1724216440424, 34.81308019828736, 43.606964316497155, BezeqFree, 06:ae:db:ba:1e:85, 11, -81.0, 
model=Lenovo PB2-690Y_device=PB2PRO, 32.172429856602434, 34.81314428818429, 33.52459289497471, sellahome, d8:fb:5e:17:47:f8, 9, -83.0, 
model=Lenovo PB2-690Y_device=PB2PRO, 32.17243758, 34.81296682, 47.0, shweiger1, 14:ae:db:c1:ad:7d, 1, -84.0, 
model=Lenovo PB2-690Y_device=PB2PRO, 32.17249938168531, 34.81267951428522, 37.39473005851746, ELDAD, 10:0d:7f:80:17:80, 11, -87.0, 
model=Lenovo PB2-690Y_device=PB2PRO, 32.172363041325866, 34.81364072799799, 38.385096172151776, Lahav, 08:3e:5d:5c:72:5e, 11, -89.0, 
model=Lenovo PB2-690Y_device=PB2PRO, 32.17227668964699, 34.81413233782168, 38.08922648494571, Orit, c4:a8:1d:12:7d:4c, 6, -91.0, 
model=Lenovo PB2-690Y_device=PB2PRO, 32.17246651, 34.81278713, 48.0, BezeqFree, 06:ae:db:c1:ad:7d, 1, -87.0, 
model=SM-G950F_device=dreamlte, 32.172489579816656, 34.812654590676075, 36.68609680025592, Eldad_2EX, 80:1f:02:e8:b9:cc, 11, -82.0, 
model=Lenovo PB2-690Y_device=PB2PRO, 32.1724962, 34.81260015, 47.0, HOTBOX1234, 30:b5:c2:6e:12:d4, 1, -88.0, 
model=Lenovo PB2-690Y_device=PB2PRO, 32.17255607851636, 34.812383491811524, 45.580574226881815, HOTBOX1234, 00:78:9e:f9:f5:5b, 1, -82.0, 
model=Lenovo PB2-690Y_device=PB2PRO, 32.17229534701232, 34.812038681950206, 44.45891914419367, varda, c4:12:f5:85:27:c2, 1, -95.0, 
